Permalink	Nombre_corr2	Type	Fecha	Engagement	mes	periodo	Pago	Message.y	bloque
https://www.facebook.com/113384436026702/posts/298268144204996/	Caren Tepp	photo	2019-02-24T00:00:00Z	591	febrero	1	No	Ansiosa por los tiempos que vienen.Fuerte gracias a la confianza y amor que me regala cada militante de Ciudad Futura.Llena de pasión por estar haciendo lo que más amo en esta vida: militar ✊🏽.Inquieta y en constante  transformación personal  y colectiva gracias a la más hermosa de las revoluciones la revolución feminista!💜Y feliz muy feliz por que esta vez es distinto. Porque esta vez no vamos a competir entre quienes pensamos parecido. Porque esta vez nuestro rojo rojito corazón se abraza con una multiplicidad de colores y de militancias con las que ya no solo vamos a compartir las calles enfrentando las injusticias de los malos gobiernos ahora también vamos pelear por una #Rosario y una #SantaFe más justa más solidaria más libre y más igualitaria.Gracias a cada compañera y compañero que empujó movilizó y construyó esta unidad 🤜❤️💚💜🤛Esta vez es distinto porque vamos por más. Después de 30 años de un mismo oficialismo y una misma oposición vamos a ofrecerle a toda la ciudad una alternativa de gobierno.Allá vamos! 🌈	Ciudad Futura
https://www.facebook.com/113384436026702/posts/298855690812908/	Caren Tepp	photo	2019-02-25T00:00:00Z	76	febrero	1	No	Otra forma de hacer y de vivir la política 🙋‍♀️🙋‍♂️🙋‍♀️🙋‍♂️🙋‍♀️.Distintos colores que hoy se unen para contruir una ciudad y una provincia más justas más libres y más igualitarias 💚💜❤️💙🧡💛.Para una #Rosario donde hace 30 años no cambia nada una verdadera alternativa de gobierno 👇👇.	Ciudad Futura
https://www.facebook.com/113384436026702/posts/301554373876373/	Caren Tepp	photo	2019-03-04T00:00:00Z	215	marzo	1	No	Marzo se tiñe de 💜VIOLETA💜 y también de muchos colores 🌈 en Ciudad Futura!!Acá 👇 les dejo la hermosa AGENDA que construyeron un montón de compañeras para que todas para que todes podamos disfrutar de tantísimos encuentros actividades y espectáculos🎭🎼🤸🏽‍♀️ durante todo un mes. Porque a esta revolución violeta 💟 la vivimos hermanadas con compromiso y convicción y desde nuestros deseos!!💫🔥✨#LasPibasAlPoder  #GenteDistintaUnFuturoDiferente#8M #MarzoVioletaDistrito SieteDistrito CincoLa Libre	Ciudad Futura
https://www.facebook.com/113384436026702/posts/302610177104126/	Caren Tepp	photo	2019-03-07T00:00:00Z	154	marzo	1	No	Durante este rebelde y hermoso 💜MARZO💜 violeta tenemos la enorme alegría de encontrarnos con Teresa Parodi y Yaima Orozco en el Distrito Siete y celebrar el día de la Mujer que Lucha!!✊Lxs esperamos!! ☺️	Ciudad Futura
https://www.facebook.com/113384436026702/posts/305003340198143/	Caren Tepp	photo	2019-03-14T00:00:00Z	336	marzo	1	No	“Si querés resultados distintos no hagas siempre lo mismo”Juan Monteverde IntendenteCarlos del Frade DiputadoCaren Tepp Concejala#GenteDistinta #UnFuturoDiferente	Ciudad Futura
https://www.facebook.com/113384436026702/posts/305006626864481/	Caren Tepp	video	2019-03-14T00:00:00Z	209	marzo	1	No	Si queremos podemos cambiarlo todoNunca como ahora hubo tanta incertidumbre sobre lo que viene. En #Rosario gobiernan los mismos de siempre desde hace 30 años y ahora dicen que van a hacer todo lo que no hicieron antes. Y los que sin ser gobierno tampoco intentaron hacer nada por nuestra ciudad ahora dicen que sí quieren hacerlo. En la vereda de enfrente estamos quienes miramos como los de siempre se pelean por lo de siempre mientras nuestros problemas siguen siendo también los mismos de siempre. Por eso decidimos juntarnos los que hasta ayer no nos juntábamos. Para convertir la bronca que tenemos por el presente que vivimos en alegría por el futuro que podemos construir. Nuestra garantía es que nunca nos olvidamos quiénes somos ni para qué estamos acá. No nos corrompimos y vamos a decirle a los partidos de siempre que ahora nos toca a nosotras y a nosotros que vamos a hacerlo mejor. Llegó el momento de que la gente común llegue al gobierno.Monteverde Intendentedel Frade DiputadoTepp Concejala#GenteDistinta #UnfuturoDiferente	Ciudad Futura
https://www.facebook.com/113384436026702/posts/305425476822596/	Caren Tepp	photo	2019-03-15T00:00:00Z	113	marzo	1	No	Mañana nos encontramos en 🌈100 PUNTOS🌈 en toda #Rosario!!Encontrá tu punto + cercano en: https://goo.gl/2rskcm	Ciudad Futura
https://www.facebook.com/113384436026702/posts/305442256820918/	Caren Tepp	video	2019-03-16T00:00:00Z	186	marzo	1	No	Ayer en el Concejo volvimos a acompañar la lucha de los trabajadores y trabajadoras de Júpiter para que la empresa no sólo no se vacíe sino para que quede en manos de ellos y ellas dándoles la oportunidad de demostrar de lo que son capaces las y los trabajadores cuando se ponen al hombro la gestión de sus fábricas!A ellas y ellos los vamos a seguir acompañando en cada instancia hasta que Júpiter en manos de sus trabajadores sea una realidad! 💪💜	Ciudad Futura
https://www.facebook.com/113384436026702/posts/306840583347752/	Caren Tepp	link	2019-03-19T00:00:00Z	155	marzo	1	No	🗞HOY en Página/12 ➡ Vinimos de la militancia social y territorial. Ahora en las  instituciones el desafío es mantener esa impronta y no traicionarnos y fue lucha constante en el sistema político porque está hecho para que una se convierta en un engranaje más. Y no nos convertimos en parte de ellos. Seguimos siendo autónomos económicamente nadie nos banca la campaña 👇https://www.pagina12.com.ar/181866-nos-conectamos-con-la-gente-mientras-los-otros-transan#GenteDistinta #UnFuturoDiferente #Rosario	Ciudad Futura
https://www.facebook.com/113384436026702/posts/309573039741173/	Caren Tepp	photo	2019-03-26T00:00:00Z	381	marzo	1	No	Paulo Freire decía “La educación no cambia al mundo: cambia a las personas que van a cambiar el mundo”. Por eso hoy y todos los días defendemos la lucha de quienes la hacen posible. Sin educación pública No hay #UnFuturoDiferente.	Ciudad Futura
